Run,Location,Utility(km),Privacy(km)
1,"Event Center (39.2523107, -76.7087002)",0.0202,0.0202
2,"Administration Drive Garage (39.2519468, -76.7126739)",0.1723,0.1548
3,"True Grit Statue (39.2530398, -76.7131576)",0.1711,0.2233
4,"Smoking Shelter #2 (39.2540364, -76.7082834)",0.2096,0.1619
5,"UMBC Bookstore (39.2546765, -76.7108831)",0.2047,0.1817
6,"Arbutus Middle School (39.2491702, -76.7039754)",0.2904,0.0621
7,"Event Center (39.2523107, -76.7087002)",0.2595,0.0504
8,"Albin O. Kuhn Library and Gallery (39.256574, -76.711586)",0.2840,0.1000
9,"Commons Drive Garage (39.2534969, -76.7097576)",0.2577,0.1044
10,"Lot 1 (39.2533317, -76.7086432)",0.2406,0.1005
11,"Stadium Lot (39.2534051, -76.7062316)",0.2424,0.0896
12,"Walter Sondheim Sculpture (39.2536779, -76.7128769)",0.2480,0.1065
13,"UMBC Stadium Complex (39.2503871, -76.7072733)",0.2574,0.0782
14,"Stadium Lot (39.2533099, -76.7060089)",0.2580,0.0709
15,"Lot 27 (39.2522569, -76.7062149)",0.2573,0.0617
16,"Lot 1 (39.2533317, -76.7086432)",0.2442,0.0643
17,"Commons Drive Garage (39.2534969, -76.7097576)",0.2349,0.0683
18,"Einstein Bros. Bagels (39.2563441, -76.7116592)",0.2445,0.0910
19,"University of Maryland Baltimore County (39.2524401, -76.7101084)",0.2379,0.0880
20,"Administration Drive Garage (39.2519468, -76.7126739)",0.2428,0.0876
21,"Lot 28 (39.2512394, -76.7069575)",0.2450,0.0745
22,"Lot 4 (39.254823, -76.7083117)",0.2429,0.0817
23,"Lot 2 (39.2542973, -76.7089504)",0.2378,0.0870
24,"Lot 27 (39.2522569, -76.7062149)",0.2390,0.0805
25,"Administration Drive Garage (39.2519468, -76.7126739)",0.2434,0.0789
