Run,Location,Utility(km),Privacy(km)
1,"Stadium Lot (39.2534051, -76.7062316)",0.0000,0.2580
2,"University of Maryland Baltimore County (39.2524401, -76.7101084)",0.1753,0.0885
3,"Event Center (39.2523107, -76.7087002)",0.1356,0.0622
4,"Einstein Bros. Bagels (39.2563441, -76.7116592)",0.2328,0.1405
5,"Administration Drive Garage (39.2519468, -76.7126739)",0.2431,0.1307
6,"Center Road (39.25648, -76.7090995)",0.2678,0.1757
7,"Lot 26 (39.2528446, -76.705164)",0.2804,0.1458
8,"Stadium Lot (39.2535882, -76.7064676)",0.2701,0.1444
9,"Dunkin' Donuts (39.254646, -76.7109146)",0.2648,0.1560
10,"Double Helix (39.252828, -76.7137605)",0.2783,0.1531
11,"Lot 24 (39.2542451, -76.7043064)",0.2918,0.1511
12,"Lot 23 (39.2546518, -76.7057234)",0.2910,0.1602
13,"Lot 4 (39.2550256, -76.7084505)",0.2788,0.1708
14,"Lot 3 (39.2544791, -76.7071504)",0.2682,0.1765
15,"Walter Sondheim Sculpture (39.2536779, -76.7128769)",0.2765,0.1724
16,"Lot 11 (39.2561458, -76.7082348)",0.2737,0.1879
17,"Stadium Lot (39.2533099, -76.7060089)",0.2712,0.1840
18,"True Grit Statue (39.2530398, -76.7131576)",0.2800,0.1768
19,"Lot 23 (39.2548019, -76.705241)",0.2805,0.1824
20,"Lot 4 (39.2550256, -76.7084505)",0.2717,0.1881
21,"Chick-fil-A (39.254078, -76.7131244)",0.2781,0.1874
22,"Joseph Beuys Sculpture Garden (39.2522681, -76.7100866)",0.2762,0.1784
23,"Lot 4 (39.254823, -76.7083117)",0.2684,0.1825
24,"Center Road (39.2558614, -76.7094044)",0.2653,0.1910
25,"Stadium Lot (39.2533099, -76.7060089)",0.2646,0.1876
